OBJECTID,COMID_NHDv,HUC6,NT_Taxa,GNIS_NAME
19111,8649442,30101,4,Suck Creek
20204,8678521,30101,3,
18033,8624851,30101,1,
18660,8629173,30101,2,
59380,22340463,20700,5,
15467,8507188,20801,1,Williams Creek
16048,8524551,20802,2,
18465,8628359,30101,4,
8894,4507174,20700,1,
20583,8695657,30101,1,
21403,8725777,30102,3,
18152,8626055,30101,1,
11607,6889508,50500,1,
32083,9896844,20801,1,
14055,8440195,20700,1,
14034,8433262,20700,1,
20756,8700929,30101,1,
21628,8742073,30102,2,
8951,4508500,20700,1,
15102,8493402,20801,2,
15877,8522977,20802,1,
16113,8525055,20802,1,
56035,19761746,60101,1,Blackwell Branch
12111,6907373,50500,1,
29959,9247542,30401,1,
16791,8546441,20802,3,
55555,19751485,60101,2,
56129,19762378,60101,2,
8851,4506828,20700,2,
14382,8459782,20801,1,
17059,8549657,20802,1,
19019,8648198,30101,1,
19046,8648516,30101,1,
29946,9247332,30401,1,
56192,19762696,60101,1,
19700,8673387,30101,2,
2089,1087861,50702,1,
14077,8440371,20700,1,Molly Booth Run
35748,10482349,30102,1,
19188,8651266,30101,4,
8747,4505984,20700,1,
8874,4506984,20700,2,
14714,8475184,20801,9,Beverly Marsh Creek
19488,8671917,30101,2,
29791,9245646,30401,1,East Prong Little Yadkin River
20301,8679099,30101,1,
29982,9247708,30401,1,
42791,12056272,20403,1,
32103,10053778,20802,1,
8745,4505970,20700,1,
35717,10480419,30102,1,
16583,8539775,20802,1,
17897,8623455,30101,2,
19129,8649706,30101,1,
20965,8713103,30101,2,Green Rock Branch
12286,6908517,50500,2,
15491,8507560,20801,1,
18075,8625277,30101,1,Garnand Branch
18804,8631415,30101,5,
20859,8710683,30101,1,
20877,8711617,30101,1,
21630,8742077,30102,3,Rogers Swamp
30466,9252380,30401,1,
14438,8465003,20801,1,
29874,9246452,30401,1,
10453,5895484,20700,1,
18610,8628967,30101,2,
21251,8724287,30102,1,Sturgeon Creek
14065,8440251,20700,2,
16268,8526621,20802,1,
14706,8475052,20801,1,Doctors Creek
16720,8545499,20802,1,
17921,8623715,30101,1,Angell Branch
16878,8547563,20802,1,
35513,10478745,30102,1,
20573,8695549,30101,2,
56186,19762660,60101,1,
2003,1086993,50702,1,Harper Branch
17445,8574869,20802,1,
59366,22340407,20700,1,
10859,6883664,50500,4,
18690,8629275,30101,2,
9143,4529129,20700,1,
11412,6888010,50500,1,Pine Run
19056,8648632,30101,4,
